Year,Month,OCEMAN Monthly Sum
2015,9,1.0025656703290003e-08
2015,10,1.002373168773e-08
2015,11,1.002178466997e-08
2015,12,1.0019861877810002e-08
2016,1,1.001787594431e-08
2016,2,1.0015981712770004e-08
2016,3,1.001405005134e-08
2016,4,1.0012156319109997e-08
2016,5,1.001018774803e-08
2016,6,1.000827864566e-08
2016,7,1.000806158855e-08
2016,8,1.0010004099010002e-08
2016,9,1.0011961927889999e-08
2016,10,1.001385990636e-08
2016,11,1.0015822432150002e-08
2016,12,1.001775291891e-08
2017,1,1.0019732353450003e-08
2017,2,1.0021595969509999e-08
2017,3,1.002347655016e-08
2017,4,1.0025400842939997e-08
2017,5,1.002734679909e-08
2017,6,1.0029276375730003e-08
2017,7,1.0030392172720004e-08
2017,8,1.003039729519e-08
2017,9,1.003039729519e-08
2017,10,1.003039729519e-08
2017,11,1.003039729519e-08
2017,12,1.003039729519e-08
2018,1,1.003039729519e-08
2018,2,1.003039729519e-08
2018,3,1.003039729519e-08
2018,4,1.003039729519e-08
2018,5,1.003039729519e-08
2018,6,1.003039729519e-08
2018,7,1.003039729519e-08
2018,8,1.003039729519e-08
2018,9,1.003039729519e-08
2018,10,1.003039729519e-08
2018,11,1.003039729519e-08
2018,12,1.003039729519e-08
2019,1,1.003039729519e-08
2019,2,1.003039729519e-08
2019,3,1.003039729519e-08
2019,4,1.003039729519e-08
2019,5,1.003039729519e-08
2019,6,1.003039729519e-08
2019,7,1.0029556054799996e-08
2019,8,1.0027601641560003e-08
2019,9,1.0025656703290003e-08
2019,10,1.002373168773e-08
2019,11,1.002178466997e-08
2019,12,1.0019861877810002e-08
2020,1,1.001787594431e-08
2020,2,1.0015981712770004e-08
2020,3,1.001405005134e-08
2020,4,1.0012156319109997e-08
2020,5,1.001018774803e-08
2020,6,1.000827864566e-08
2020,7,1.000806158855e-08
2020,8,1.0010004099010002e-08
2020,9,1.0011961927889999e-08
2020,10,1.001385990636e-08
2020,11,1.0015822432150002e-08
2020,12,1.001775291891e-08
2021,1,1.0019732353450003e-08
2021,2,1.0021595969509999e-08
2021,3,1.002347655016e-08
2021,4,1.0025400842939997e-08
2021,5,1.002734679909e-08
2021,6,1.0029276375730003e-08
2021,7,1.0030392172720004e-08
2021,8,1.003039729519e-08
2021,9,1.003039729519e-08
2021,10,1.003039729519e-08
2021,11,1.003039729519e-08
2021,12,1.003039729519e-08
2022,1,1.003039729519e-08
2022,2,1.003039729519e-08
2022,3,1.003039729519e-08
2022,4,1.003039729519e-08
2022,5,1.003039729519e-08
2022,6,1.003039729519e-08
2022,7,1.003039729519e-08
2022,8,1.003039729519e-08
2022,9,1.003039729519e-08
2022,10,1.003039729519e-08
2022,11,1.003039729519e-08
2022,12,1.003039729519e-08
2023,1,1.003039729519e-08
2023,2,1.003039729519e-08
2023,3,1.003039729519e-08
2023,4,1.003039729519e-08
2023,5,1.003039729519e-08
2023,6,1.003039729519e-08
2023,7,1.003039729519e-08
2023,8,1.003039729519e-08
2023,9,1.003039729519e-08
2023,10,1.003039729519e-08
2023,11,1.003039729519e-08
2023,12,1.003039729519e-08
