Year,Month,BCEMAN Monthly Sum,OCEMAN Monthly Sum,SO2EMAN Monthly Sum,SO4EMAN Monthly Sum
1998,4,4.08095691258e-09,9.17354544108e-09,2.0034006522739992e-07,9.513913811590004e-09
1998,5,4.08599937424e-09,9.18057168824e-09,1.995749891356e-07,9.478664883520004e-09
1998,6,4.09104394855e-09,9.18759011831e-09,1.988188375556e-07,9.443438494499998e-09
1998,7,4.096683837910001e-09,9.19530450157e-09,1.9776437692600007e-07,9.394686024280002e-09
1998,8,4.103220439920001e-09,9.20407698124e-09,1.9629710524160004e-07,9.326994625689996e-09
1998,9,4.10965325036e-09,9.2127172748e-09,1.948397672576e-07,9.260303124709996e-09
1998,10,4.11608964529e-09,9.221358900200003e-09,1.933897989316e-07,9.19359124199e-09
1998,11,4.1225232400499984e-09,9.22999624867e-09,1.9193654635760005e-07,9.12689871075e-09
1998,12,4.1289581318199995e-09,9.238637278890001e-09,1.904928360962e-07,9.060199229840002e-09
1999,1,4.13550056609e-09,9.24741724745e-09,1.89017194107e-07,8.992403221779998e-09
1999,2,4.1417220723999996e-09,9.25577342014e-09,1.876173368649e-07,8.927899751780003e-09
1999,3,4.147949246340001e-09,9.264132937190004e-09,1.862200132415e-07,8.863387090249995e-09
1999,4,4.15438144595e-09,9.272766202949999e-09,1.8477384075140003e-07,8.796682217359999e-09
1999,5,4.160814894550001e-09,9.281408439399999e-09,1.8333118043370001e-07,8.729975052079999e-09
1999,6,4.16724981487e-09,9.29004407481e-09,1.818930647454e-07,8.663294514009997e-09
1999,7,4.172950324409998e-09,9.297557071150006e-09,1.806500603946001e-07,8.605827184930002e-09
1999,8,4.177718134080001e-09,9.303635811499999e-09,1.7966079437899997e-07,8.560204569449999e-09
1999,9,4.18240384191e-09,9.30960443588e-09,1.786777550922e-07,8.515422297740003e-09
1999,10,4.187093609579999e-09,9.31556381574e-09,1.7769821635470002e-07,8.47065095111e-09
1999,11,4.191778490779999e-09,9.321526401730002e-09,1.7671986052370004e-07,8.425842866650002e-09
1999,12,4.19646788433e-09,9.32750265474e-09,1.7574759924070005e-07,8.381058582279999e-09
2000,1,4.20122806554e-09,9.33355926145e-09,1.7476547739570002e-07,8.335554318320002e-09
2000,2,4.20584016405e-09,9.339426928940004e-09,1.738085302919e-07,8.291491431989998e-09
2000,3,4.210449111259999e-09,9.345298909080001e-09,1.7285179138959998e-07,8.247429395610003e-09
2000,4,4.21513728454e-09,9.35126514541e-09,1.7187805515819993e-07,8.202660864480001e-09
2000,5,4.219825440819999e-09,9.357231486339999e-09,1.709072143546e-07,8.15787343613e-09
2000,6,4.2245107377400014e-09,9.36320062245e-09,1.699412058715e-07,8.11307011997e-09
2000,7,4.230342891450001e-09,9.373344420909999e-09,1.6899845834329995e-07,8.07025773678e-09
2000,8,4.237692054470001e-09,9.388860639489999e-09,1.68074632114e-07,8.029205029200001e-09
2000,9,4.244927589789999e-09,9.404138631999997e-09,1.6715456035330002e-07,7.988845271130002e-09
2000,10,4.2521646452e-09,9.419421231029998e-09,1.6623851560180002e-07,7.948482304969998e-09
